Datetime,Global_active_power
2007-01-01,2749.004
2007-01-02,1269.236
2007-01-03,1014.054
2007-01-04,3259.412
2007-01-05,2713.364
2007-01-06,1508.378
2007-01-07,2447.62
2007-01-08,2241.36
2007-01-09,1869.054
2007-01-10,2154.8
2007-01-11,2255.194
2007-01-12,1461.296
2007-01-13,3186.814
2007-01-14,3007.816
2007-01-15,2148.678
2007-01-16,1686.404
2007-01-17,2847.688
2007-01-18,1821.462
2007-01-19,1480.44
2007-01-20,3133.732
2007-01-21,3407.262
2007-01-22,2180.494
2007-01-23,1777.64
2007-01-24,2987.854
2007-01-25,1596.344
2007-01-26,1617.972
2007-01-27,2044.072
2007-01-28,3090.204
2007-01-29,1982.664
2007-01-30,1707.798
2007-01-31,2363.752
2007-02-01,1824.76
2007-02-02,1667.736
2007-02-03,4029.722
2007-02-04,3595.94
2007-02-05,1645.28
2007-02-06,1273.48
2007-02-07,2328.018
2007-02-08,1801.414
2007-02-09,1620.198
2007-02-10,2829.328
2007-02-11,3571.228
2007-02-12,1877.61
2007-02-13,1414.546
2007-02-14,2498.672
2007-02-15,1985.346
2007-02-16,1702.528
2007-02-17,2076.912
2007-02-18,3829.762
2007-02-19,2186.614
2007-02-20,3149.928
2007-02-21,2072.874
2007-02-22,3369.478
2007-02-23,1313.48
2007-02-24,714.922
2007-02-25,501.74
2007-02-26,568.484
2007-02-27,518.112
2007-02-28,520.774
2007-03-01,517.564
2007-03-02,515.688
2007-03-03,819.122
2007-03-04,2090.7
2007-03-05,2660.332
2007-03-06,1246.5
2007-03-07,2375.206
2007-03-08,1572.132
2007-03-09,1272.612
2007-03-10,2484.712
2007-03-11,3480.636
2007-03-12,1950.668
2007-03-13,1290.144
2007-03-14,1793.364
2007-03-15,1884.814
2007-03-16,1702.054
2007-03-17,2028.09
2007-03-18,2371.046
2007-03-19,2152.518
2007-03-20,2086.228
2007-03-21,2142.092
2007-03-22,1454.978
2007-03-23,1309.008
2007-03-24,2968.43
2007-03-25,3336.124
2007-03-26,1416.082
2007-03-27,1105.14
2007-03-28,2333.898
2007-03-29,1590.406
2007-03-30,1402.394
2007-03-31,3509.51
2007-04-01,2785.9519999999998
2007-04-02,1960.778
2007-04-03,1642.82
2007-04-04,2051.868
2007-04-05,1844.078
2007-04-06,1601.14
2007-04-07,1553.924
2007-04-08,1608.816
2007-04-09,1000.92
2007-04-10,777.364
2007-04-11,887.482
2007-04-12,537.706
2007-04-13,551.022
2007-04-14,554.268
2007-04-15,726.164
2007-04-16,952.39
2007-04-17,1223.734
2007-04-18,998.246
2007-04-19,1028.658
2007-04-20,822.58
2007-04-21,1673.656
2007-04-22,2233.714
2007-04-23,1054.566
2007-04-24,1032.1
2007-04-25,1264.162
2007-04-26,1275.466
2007-04-27,1094.332
2007-04-28,22.738
2007-04-29,0.0
2007-04-30,420.822
2007-05-01,1663.858
2007-05-02,1003.486
2007-05-03,1090.238
2007-05-04,998.128
2007-05-05,1563.052
2007-05-06,2102.104
2007-05-07,1643.664
2007-05-08,1789.292
2007-05-09,1665.736
2007-05-10,707.884
2007-05-11,979.154
2007-05-12,1441.566
2007-05-13,1634.738
2007-05-14,1467.782
2007-05-15,904.392
2007-05-16,1692.944
2007-05-17,1231.816
2007-05-18,1631.53
2007-05-19,1429.442
2007-05-20,1968.328
2007-05-21,1120.062
2007-05-22,1132.852
2007-05-23,1464.936
2007-05-24,1154.388
2007-05-25,1614.22
2007-05-26,1512.248
2007-05-27,2153.808
2007-05-28,1637.468
2007-05-29,1061.34
2007-05-30,1609.866
2007-05-31,938.55
2007-06-01,1044.918
2007-06-02,1484.362
2007-06-03,2108.026
2007-06-04,911.618
2007-06-05,1458.892
2007-06-06,1693.638
2007-06-07,985.002
2007-06-08,2148.046
2007-06-09,1059.814
2007-06-10,1340.812
2007-06-11,794.654
2007-06-12,918.766
2007-06-13,927.272
2007-06-14,1259.084
2007-06-15,989.604
2007-06-16,2017.762
2007-06-17,1947.09
2007-06-18,678.474
2007-06-19,842.36
2007-06-20,1074.286
2007-06-21,806.946
2007-06-22,566.294
2007-06-23,477.56600000000003
2007-06-24,714.656
2007-06-25,1072.202
2007-06-26,944.908
2007-06-27,1480.826
2007-06-28,1295.438
2007-06-29,1304.198
2007-06-30,1335.314
